Date,XLF,XLE,XLU,XLI,XLP,XLK,XLV,XLB,XLY,XRT,XOP,XHB
2021-01-04,0.0,0.007745759687305423,0.04966387065074432,0.0,0.3537090336905228,0.1157688771908362,0.3137548403569651,0.006063213095706351,0.12916848843256254,0.0,0.000305337532719126,0.023820579362638365
2021-01-05,0.0,0.0,0.03645612971644661,3.185750176694405e-18,0.40313482915666893,0.05930905753577321,0.3714885228657273,0.001701082271804167,0.09941934454607922,5.03192676590137e-19,8.791274947816314e-19,0.028491033907500532
2021-01-06,0.0,4.264373741764791e-18,0.03872246419905109,1.3366535488872132e-18,0.4391448592237167,0.03462714164100301,0.39361710663015886,0.0044555795908810866,0.08296633645588687,0.0,3.813838008052466e-18,0.006466512259302377
2021-01-07,2.9044748908918403e-17,0.0,2.468871468063912e-17,2.230174747092094e-18,0.4574739114799142,0.02367205432300224,0.42094230423480705,7.54591245400425e-18,0.09791172996227651,2.3366373576969404e-18,0.0,0.0
2021-01-08,1.5745606192904936e-19,0.0,0.0014322962748444107,1.6749756513839234e-18,0.4642374664353637,0.008089181662777063,0.42865743388132566,3.590929190022563e-19,0.09758362174568919,1.8486116104263774e-18,0.0,4.324817668265095e-18
2021-01-11,0.0,1.3425132034435457e-17,0.035297852621378356,0.0,0.4498345206436354,6.951661143855758e-18,0.4196932316827115,2.42861286636753e-17,0.09517439505227482,0.0,6.273782976632446e-18,2.6574672879568985e-18
2021-01-12,0.0,1.9615653577377175e-17,0.057014132572970624,0.0,0.44871761138999977,1.6191470258173791e-18,0.4078196515053918,0.0,0.08644860453163783,0.0,1.6255319987400218e-17,7.716770252374668e-19
2021-01-13,4.486613069163528e-18,0.0,0.06760719447174718,0.0,0.437490145880727,1.8012437258409383e-18,0.40199317162440157,0.0,0.09290948802312417,0.0,0.0,0.0
2021-01-14,7.993972979896387e-18,0.0,0.23842506627103385,2.756681012016852e-19,0.3271710930541667,0.04578065088701847,0.3071953264633404,0.0,0.08142786332444066,0.0,0.0,0.0
2021-01-15,0.0,1.1621458803881229e-18,0.14171687656048118,0.0,0.34501934013639934,0.04214384827157211,0.35967599709913983,2.205266813243134e-18,0.1085946327460143,0.0,1.2575592832888378e-18,0.0028493051863932826
2021-01-19,0.0,1.756223510884128e-18,0.2190681676481768,1.4876586551037123e-18,0.292649605613203,0.08098996603620544,0.2975411138494087,6.487865797461558e-20,0.08401041143372208,0.0,0.0,0.025740735419283886
2021-01-20,0.0,6.744914521437879e-19,0.2123832192714238,8.67302214812572e-19,0.2894295727170763,0.0904666968354586,0.29484169839704183,5.481701034736666e-18,0.08455158913963955,0.0,0.00156405552751272,0.02676316811184702
2021-01-21,1.0015430583626918e-18,0.0,0.18943842981240644,0.0,0.2871274552588881,0.10134389382373797,0.29712590886449425,2.3761670479324455e-18,0.09052924957152791,0.0,0.008102654283000145,0.026332408385945145
2021-01-22,0.0,0.008517899922193414,0.17147625544970782,7.37257477290143e-18,0.28373096961891286,0.10480666898129276,0.3012098643109183,0.0,0.09907883750834595,1.463672932855431e-18,0.007826128852750339,0.023353375355878694
2021-01-25,0.0018317325312792918,0.010159488383126063,0.19094526249713858,0.024438554775310734,0.27630490081990117,0.10518397712244039,0.29133578021002804,1.3417001884508117e-18,0.08823682618719414,6.911788849595091e-19,0.009495377954615657,0.0020680995189660285
2021-01-26,0.0,0.016693143652467234,0.18467939518184892,1.5386211258062023e-18,0.274533844419909,0.0838878781056976,0.3202031861010753,6.8627113126411295e-19,0.09579293768463595,2.7174249053779036e-18,0.002304465412587822,0.021905149441778293
2021-01-27,1.5023145875440407e-18,0.027727085349176235,0.210451086076378,0.004351864931908988,0.2697195142250789,0.10330093304274227,0.30875466403535035,0.0,0.07024845609769306,4.3319604152212046e-18,0.0,0.00544639624167233
2021-01-28,0.0,0.02855546139359296,0.23171909739874152,0.0125707797842913,0.2640940947688141,0.07392715786880473,0.3247604164598594,2.168404344971009e-19,0.05124093079567961,6.902635658969805e-19,2.182385652980224e-18,0.013132061530216461
2021-01-29,0.0,0.024264707112680618,0.29801862776975746,0.0,0.24838512475131103,0.07750958132006053,0.26035541793116235,0.05088217890880499,0.02399314240588323,0.0,0.0,0.016591219800339656
2021-02-01,0.0,0.026580767045807505,0.3345246599462789,0.0,0.24423840101193978,0.054102023321403334,0.25452877637410953,0.06243838529772484,0.015117308295242214,2.144929292798623e-18,0.0,0.008469678707493952
2021-02-02,1.1633219332899533e-18,0.03778561542195064,0.35329349828234685,0.010603802410591789,0.24514149214583122,0.03637897772758148,0.2443194146818174,0.07247719932988074,3.3226516552730105e-19,1.1374558599674016e-19,0.0,1.9195287050720416e-19
2021-02-03,6.885608577545384e-19,0.03842075729586492,0.3649814727070901,0.023232448872249085,0.2427539431655571,0.030281686003950523,0.2316924993948334,0.06657397065078319,7.6528589381587665e-19,0.0,0.00038137927499784383,0.0016818426346737253
2021-02-04,2.6603487685970394e-19,0.0026250851543441205,0.39013800529475456,0.031055903607380565,0.2374031456907251,0.02873228880332266,0.21192213934972415,0.05443642939317841,0.009911543201385709,0.0,0.02892011420510463,0.004855345300080132
2021-02-05,0.024642584581406595,8.673617379884035e-19,0.3776082667795772,0.04015505157860219,0.24112822268517586,0.030734329464575952,0.20362686464839524,0.04662903752064201,0.010897111002631096,0.0,0.024578531738993808,1.8973538018496328e-19
2021-02-08,0.02910689154837766,8.673617379884035e-19,0.35035314099120235,0.05520859789734113,0.24391903316918523,0.03945558236300173,0.20225050659446164,0.05196955506495851,0.0021265436976534327,0.0,0.022318222421626323,0.0032919262521919094
