Date,XLF,XLE,XLU,XLI,XLP,XLK,XLV,XLB,XLY,XRT,XOP,XHB
2021-01-04,0.0,0.0,0.1363646589018087,4.672788604665659e-19,0.37994480689562954,0.03651074709644324,0.33855886160452475,0.033626207840923295,0.07499471766067052,1.215418291580172e-18,0.0,1.091120089462706e-18
2021-01-05,0.0,2.8938276639356688e-18,0.15091284453336495,0.0,0.40437190903077236,0.004950309887444737,0.35390031943833195,0.023091821713421643,0.06264768566008447,3.2901255644899705e-19,3.500318160008253e-19,0.00012510973657973642
2021-01-06,0.0,0.0,0.1717440430913724,2.180111534661831e-18,0.39651243466801994,8.283355102282029e-18,0.3419538606825609,0.026064662500241934,0.061877548940079616,0.0,0.0,0.0018474501177252883
2021-01-07,0.0,0.0,0.16093991016750508,2.4404497534834292e-18,0.3881844069049828,1.8247683746851707e-17,0.33943305449619204,0.03782355372361084,0.06924425436484344,0.0,3.6370544234783655e-18,0.0043748203428659455
2021-01-08,0.0,1.3895601101842596e-18,0.2175347469015716,3.95168329306116e-18,0.35243269299853414,0.0014886863992617768,0.31236673951373467,1.028944116469748e-17,0.06774554512688796,0.0,4.931355510316776e-18,0.04843158906000994
2021-01-11,0.0,1.1977290041983406e-17,0.20992977052561718,4.818461221496302e-18,0.3522485240104566,1.4422732608774443e-18,0.31322854649462323,0.0007224383837817904,0.08008340509775932,4.0088346145696765e-18,4.537903381528474e-18,0.043787315487761984
2021-01-12,1.802777518484591e-17,5.088608383927713e-18,0.2893504417818031,0.0,0.2884822012315383,0.039637224897593776,0.25257046541980244,0.05105652089908923,0.0789031457701732,3.3696461148595784e-18,5.0891460015122564e-18,0.0
2021-01-13,4.506943796211472e-18,8.685037113104149e-19,0.2752189852118086,0.0,0.28699166416300026,0.04368302526450529,0.25703653182381625,0.05692515058580897,0.08014464295106055,0.0,8.070327078836756e-19,0.0
2021-01-14,0.0,0.0,0.17467368688837187,0.0,0.3572827798437275,2.9879034156418694e-18,0.3343607049464538,0.015329969361086108,0.08372640766305336,0.0,3.2557201026230244e-18,0.03462645129730736
2021-01-15,0.0,3.4009306069854715e-18,0.16659120858522664,1.5976947780988582e-18,0.3574941338354784,0.015207206276528565,0.34168406935907203,0.013102801966978416,0.07272095522233334,4.2667281309382207e-20,7.432521107795475e-19,0.03319962475438262
2021-01-19,0.0,2.5768706964592945e-18,0.15704809034505826,0.0,0.35661625985226164,0.022272539261878752,0.3424805967936627,0.013248678697759085,0.07789587744606381,3.913997177106058e-18,0.0,0.0304379576033159
2021-01-20,0.0,0.0,0.1657440764690544,4.118168730487082e-18,0.35065978618122906,0.0236189559417203,0.3397908974345561,0.01858948779590877,0.07405609364864642,0.0,3.073593324982529e-19,0.027540702528885075
2021-01-21,0.0,0.0,0.15119336901477837,3.2253656921444058e-18,0.3456876718513916,0.031046505381266954,0.3474405892932677,0.030746240204703925,0.07207836436549209,4.775218280640938e-19,4.5347678798054994e-05,0.021761912210301316
2021-01-22,0.0,1.2252222276633726e-18,0.14307561701271776,0.0,0.34184516478984056,0.039909775940024414,0.34828067815891606,0.04281159475446687,0.07745489263079464,1.938345265910688e-19,0.0019053206303502575,0.00471695608288962
2021-01-25,0.0,3.436733639704406e-18,0.1377766004763365,9.366691780532157e-20,0.35055184341511697,0.039753240327184136,0.35573878718174856,0.0404979259089436,0.06847687508632394,0.0,0.0024899190143507256,0.0047148085899956765
2021-01-26,8.513116059510571e-18,0.0,0.15859027677014478,0.0,0.35399634367603455,0.02689999988014347,0.35464789762854004,0.028265753458972538,0.051667954082769786,6.894158617427234e-18,0.0,0.02593177450339474
2021-01-27,0.0,5.987507903923015e-19,0.1535377089767161,0.0,0.34791060152835823,0.03383670114427071,0.35767712063678125,0.03707706391124119,0.03976896693193331,0.0,0.0,0.03019183687069927
2021-01-28,0.0,2.6707679732293784e-18,0.10055073056717728,0.0,0.3777985478566286,0.032588434028086165,0.3946753845748404,0.03214815882142133,0.04690028982136263,0.0,1.4937483517239407e-18,0.015338454330483628
2021-01-29,0.0,2.0430469681278547e-18,0.1148385576490422,5.87716854998713e-18,0.42649795242267524,0.0029454890070028505,0.3744793090830774,0.0,0.030764605262199207,0.0,0.0,0.05047408657600313
2021-02-01,0.0,0.0,0.0743352791290755,1.767630666831928e-17,0.46080436425135207,0.010548092102810018,0.3795960886344059,0.022288075469572573,0.019262742102503012,0.0,0.0,0.033165358310280904
2021-02-02,1.815296793282386e-18,0.0,0.03614078161568575,6.903798374924022e-18,0.48053402696944436,0.0002947422498372911,0.38099000928934895,0.03251411216098294,0.0021301995921988986,6.935278923300832e-18,0.0,0.06739612812250184
2021-02-03,0.0,1.8388559188572436e-18,0.04203758133236786,7.56478821536299e-18,0.45918649157136293,2.4443221331348343e-17,0.36681673381020286,0.06607242951817802,0.0,4.117478283571543e-18,0.0,0.06588676376788835
2021-02-04,0.0,1.8165231576833378e-18,0.0824858289868427,1.5116524641250925e-17,0.4347382521562036,3.469446951953614e-18,0.3537925358637826,0.07387392616356303,8.179935668266403e-05,0.0,0.0,0.05502765747292526
2021-02-05,0.0,0.0,0.035739571530217784,2.946771688381912e-18,0.46158887133297555,6.297493944337851e-18,0.40450749921853296,0.08205783610809088,0.01578101475428611,5.3787179252538155e-18,8.912613563516574e-19,0.00032520705589684314
2021-02-08,0.0,1.6960952486921632e-18,0.04294837991348649,1.7458773426863955e-17,0.4434851104348244,1.3497487874720375e-17,0.43634998867864533,0.07721652097304374,8.7190939617432e-18,0.0,4.043019443186215e-18,9.297576273410677e-18
