Date,XLF,XLE,XLU,XLI,XLP,XLK,XLV,XLB,XLY,XRT,XOP,XHB
2021-01-04,7.243594410610152e-17,1.365968132435605e-16,6.098226420303431e-17,0.4374502568501142,0.3729760836077674,0.06947476897328286,0.0,0.0,0.1200988905688353,0.0,0.0,5.385224100256109e-17
2021-01-05,3.252351513118828e-17,0.0,0.0,1.5860477323797545e-17,2.7755575615628914e-17,7.647941659446485e-17,0.9054574074446038,0.0,0.0945425925553964,0.0,1.2571603781502351e-17,6.655502811059301e-17
2021-01-06,0.0,2.423786778179638e-17,0.44972912864760956,0.0,0.4616318266746494,0.0,0.0,1.8123082967329427e-17,0.08863904467774109,1.1545184389504435e-16,1.5029603693396862e-17,1.6196711113991355e-18
2021-01-07,1.2905315234840442e-17,0.0,0.0,4.0152950478538933e-17,1.0,6.887254055786203e-17,0.0,0.0,5.551115123125783e-17,0.0,5.1004116333431e-17,4.422965526997968e-17
2021-01-08,6.996134308324117e-19,0.0,1.8699126302023575e-16,0.22318592828879028,0.7265008835870517,7.9620583930447e-17,0.0,0.0,0.0,0.05031318812415815,6.105755686927613e-17,1.913722628163733e-17
2021-01-11,0.0692463155362155,1.9905951886833861e-16,0.1353844230240807,0.14880524103443793,0.2841851105432858,4.85722573273506e-17,0.22266547884766358,2.2746561578745883e-16,0.0,0.13971343101431616,0.0,0.0
2021-01-12,0.17931298601458687,3.252606517456513e-17,0.0,0.38911983452505633,0.0,0.0,0.43156717946035694,4.445228907190568e-18,5.231275482242559e-18,0.0,0.0,2.1033522146218786e-17
2021-01-13,3.778128757808294e-18,0.0,0.32478050811330444,0.0,0.6510372094556522,0.0241822824310432,0.0,0.0,9.339422553366585e-18,4.033776021617271e-17,8.18457848219268e-18,2.3096269662687917e-17
2021-01-14,4.015184547800921e-05,1.951563910473908e-17,2.211772431870429e-17,2.7755575615628914e-17,0.4152706522377403,7.28583859910259e-17,0.25911228024862143,1.431146867680866e-17,0.32557691566815994,3.599551212651875e-17,0.0,4.163336342344337e-17
2021-01-15,0.07117749381689295,0.0,0.2239534127481365,0.20729718178146567,0.1693577640252012,7.632783294297951e-17,0.24782086825488564,1.0928757898653885e-16,3.469446951953614e-17,0.0,0.0,0.08039327937341816
2021-01-19,3.5554778836779435e-17,0.0,0.0,1.4366360057163763e-17,0.40614796086284266,1.3935312572497625e-16,0.4529376828596433,3.633306073541995e-17,0.0,0.0,6.90916742987098e-19,0.14091435627751406
2021-01-20,0.08055521822972347,0.0,0.16783172845730143,0.1448431307846164,0.17480566008982454,1.8041124150158794e-16,0.1275604298612856,3.469446951953614e-18,0.19061931065603918,0.11378452192120928,0.0,1.1926223897340549e-17
2021-01-21,6.70405598561011e-17,0.0,0.0,0.0,0.6171393059747168,0.0,0.24170611662334415,1.9398166498617248e-17,2.279147628830974e-17,0.14115457740193918,3.519692293762851e-17,0.0
2021-01-22,2.8783514152535985e-17,0.0,0.0,3.973080097627187e-17,0.38759853648208165,0.0,0.1625224614625039,0.0,0.44987900205541453,7.329385991883137e-18,9.448421413872008e-18,0.0
2021-01-25,0.0,1.3024358723167397e-17,0.23575227939102925,0.05315966342883748,0.2590833231423068,5.898059818321144e-17,0.21045975639182557,0.0,0.14084799451877944,4.9627627748220274e-17,0.0,0.10069698312722135
2021-01-26,0.0,3.1688858611913164e-18,0.0,0.0,0.0,0.0,0.3403438936428822,7.67210842387835e-18,0.5299756976525465,0.0,2.2278521670562046e-17,0.1296804087045717
2021-01-27,3.958134685003818e-17,0.0,3.4186962635224588e-18,2.784279102164885e-17,0.08323808609069912,6.938893903907228e-17,0.42381559497826593,0.0,0.49294631893103485,0.0,0.0,1.0774480189427135e-16
2021-01-28,0.0,0.3171924879111663,0.0,0.0,0.3707836331427051,0.20709305987013785,2.554033228186585e-16,0.0,0.0,1.797600980261551e-16,0.0,0.10493081907599086
2021-01-29,0.0,0.0,1.8601579050117914e-16,0.0,0.413845754764418,0.0,2.25659262400583e-16,0.0,0.42482210774486956,8.675384375295158e-17,2.006375619819898e-17,0.16133213749071235
2021-02-01,0.0,1.1865254311846837e-17,0.5425977812586545,0.0,6.7209768855280616e-18,3.808395600084062e-18,0.45740221874134546,0.0,0.0,2.3371812548601562e-17,1.8423905748968713e-19,8.239936510889834e-18
2021-02-02,0.0,0.0,0.0,0.0,0.683359817173799,0.0,0.316640182826201,0.0,2.166250367425473e-17,3.3690118115223834e-17,0.0,9.823938404357888e-17
2021-02-03,0.0,0.0,0.0,0.0,0.382695242203031,0.0,0.5605218241370706,0.0,0.0,1.054460221675973e-16,9.96500713462511e-18,0.05678293365989873
2021-02-04,0.0,1.511893087503702e-17,0.0,0.3015412556895572,0.698458744310443,0.0,5.840808016490227e-17,0.0,5.258850224051911e-17,2.3500392909613187e-17,0.0,3.607246495421112e-18
2021-02-05,2.260504146719577e-16,4.633359517533174e-17,0.04972373551205468,4.441166773233859e-17,0.34483235036047843,3.559883313425383e-18,0.5038176618428772,0.0,0.0997510401343904,0.0018752121501991459,0.0,0.0
2021-02-08,0.008275166625528043,0.0,0.1995655771337977,0.22903106005131021,4.5102810375396984e-17,0.0,0.4381609538936397,0.0,0.12496724229572437,0.0,4.8138576458356397e-17,0.0
2021-02-09,0.0,0.0,1.3645768440599378e-16,1.0408340855860843e-16,0.39576332666356606,9.6661494666853e-17,0.2723343177384004,3.935194491133024e-17,0.3319023555980334,0.0,4.399039448156603e-17,0.0
