Date,XLF,XLE,XLU,XLI,XLP,XLK,XLV,XLB,XLY,XRT,XOP,XHB
2021-01-04,1.3638077488501993e-17,0.0,0.011205029757812957,0.07539344896381253,0.3909634174391706,7.253238523613404e-17,0.03202496636751698,0.0,0.4904131374716871,0.0,6.55749927038983e-17,8.859099527269232e-18
2021-01-05,1.734723475976807e-17,0.0,4.163336342344337e-17,1.0408340855860843e-17,0.29218481541066493,1.6479873021779667e-17,0.37903326472349497,1.3877787807814457e-17,0.3287819198658401,1.3877787807814457e-17,2.6020852139652106e-18,6.938893903907228e-18
2021-01-06,0.0,1.192622389734055e-16,0.0,9.974659986866641e-18,0.3723383415547345,0.0,0.2968252972245763,1.1709383462843448e-17,0.3308363612206893,1.6046192152785466e-17,0.0,0.0
2021-01-07,2.3642043716505036e-18,0.0,0.0,6.593346186831815e-17,0.6869468387065032,1.172934758003331e-16,2.8796409701215e-16,7.791823893106105e-18,0.3130531612934965,1.8634644446001585e-17,0.0,0.0
2021-01-08,8.371169578926943e-18,1.4900885099271908e-17,8.299618645001678e-17,0.0,0.984733896414266,0.0,0.011471740766557381,1.3177846307767075e-18,0.0037943628191766388,3.4660728793037573e-18,2.3949779510530675e-17,4.311721969260112e-19
2021-01-11,0.0,1.8363910334806656e-17,1.4215261385264587e-16,6.29636204966763e-17,0.9680421687686973,3.010992325548935e-17,0.03195783123130258,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,1.0233009018273497e-17,4.96559163445762e-17,0.0,0.6095885436733982,0.0,0.39041145632660185,1.1481265122053777e-17,2.8208500425028326e-17,0.0,1.531775935453225e-17,3.407323586379137e-18
2021-01-13,0.0015378017927461993,0.0,0.0,0.01012001748806857,0.8488472040337609,4.411184513065033e-18,0.1394949766854244,0.0,0.0,0.0,8.565755980844942e-18,0.0
2021-01-14,0.030765628892834247,1.0408340855860843e-17,0.0,0.0,0.8597820022817061,3.122502256758253e-17,0.10945236882545978,0.0,1.0842021724855044e-18,5.854691731421724e-18,3.903127820947816e-18,0.0
2021-01-15,0.06224650722333758,3.0791341698588326e-17,0.0,0.01788088075339967,0.7446059286875852,9.107298248878237e-18,0.16312335453419288,4.119968255444917e-18,1.431146867680866e-17,2.4936649967166602e-17,0.0,0.012143328801484693
2021-01-19,0.0,8.66984845100085e-18,1.734723475976807e-17,3.200673804076686e-17,0.5618382636108855,0.0,0.3686916982730597,9.684654470163028e-18,0.0,0.0,1.22012418367363e-17,0.06947003811605486
2021-01-20,6.1813986093872634e-18,2.787740800533274e-17,1.937444645139783e-18,6.606107051664381e-05,0.6409488721243577,0.0,0.32710961145795986,0.0,0.0,0.0,8.825921298804405e-18,0.031875455347165876
2021-01-21,0.03816348239439888,0.0,1.5178830414797062e-18,5.637851296924623e-18,0.693580593845651,2.3418766925686896e-17,0.26825592375995033,0.0,0.0,0.0,2.5153490401663703e-17,0.0
2021-01-22,0.0,0.0,0.0,0.0,0.6920150385752347,0.0,0.3079849614247655,0.0,0.0,0.0,4.17545001254468e-18,4.474380790584972e-18
2021-01-25,8.909221904676518e-18,1.7900585845601926e-18,1.1102230246251565e-16,0.0,0.7392387633511769,1.880046434212243e-17,0.260761236648823,0.0,0.0,0.0,2.1361570997231307e-17,7.640537802975285e-18
2021-01-26,4.4744397086976574e-18,0.0,4.2208428910086957e-17,1.0408340855860843e-17,0.4870173389995472,5.385136768865113e-18,0.3670935648525348,7.014802790400598e-18,0.14588909614791798,0.0,4.203797336735391e-17,0.0
2021-01-27,0.0,1.4799359654427136e-17,0.0,0.0011460985014513168,0.3857181839360521,0.0,0.34545555536224876,0.0,0.26768016220024776,0.0,5.340176777429896e-18,5.421010862427522e-19
2021-01-28,4.0061722424052745e-17,0.0,0.0,0.17182716058085484,0.6942170702748893,0.1195661053423315,0.0,4.119250155427211e-18,3.6731917093166566e-17,0.0,0.0,0.01438966380192442
2021-01-29,1.6607618539463585e-17,0.0,0.0,4.915874793241523e-17,0.8303342097585253,0.023087419844419813,0.0,0.0,1.4722587630021137e-17,6.375189185271871e-18,9.234710052731149e-18,0.1465783703970549
2021-02-01,2.3911840696566452e-17,0.0,0.34299465619265546,0.0,0.2868025132421253,3.642919299551295e-17,0.22077800456904245,3.2952864663041016e-17,1.7969389976631522e-17,0.013885061970316205,5.860008148544847e-18,0.1355397640258606
2021-02-02,0.0,5.135079481935574e-18,0.3354869997278486,0.0,0.33126429777730865,1.3215801325491893e-17,0.2502553242432954,0.0,0.0,0.004570888933797224,0.0,0.07842248931775019
2021-02-03,5.633679745264348e-19,1.106772559542586e-17,0.30082075075080483,1.980243680778808e-17,0.39129602158593924,9.751871289900705e-18,0.2779256814438065,1.7687355700290036e-17,0.0,0.0,0.0,0.02995754621944942
2021-02-04,2.0030861316495447e-17,0.0,0.3177349995388959,2.1358643820205395e-17,0.4889971235674173,0.0,0.1932678768936868,0.0,0.0,0.0,8.446354027689356e-18,1.3877787807814457e-17
2021-02-05,0.0,1.8270725033930492e-17,0.1834583415583524,0.0,0.5826653751974774,4.511936311024034e-18,0.23387628324417015,0.0,2.9197033313649136e-17,1.7546855573056292e-18,1.436017610971185e-18,0.0
2021-02-08,0.0,0.0,0.3474270395597569,0.0,0.3320211921520728,1.0408340855860843e-17,0.3205517682881702,0.0,0.0,0.0,4.4848332682231034e-18,3.668843836996228e-18
2021-02-09,0.0,0.0,0.12108460584391269,2.055243434738409e-17,0.4782719019845596,1.823336038493992e-17,0.40064349217152767,0.0,3.494097925981425e-17,0.0,1.3433464427259458e-17,0.0
